1,1,9,5
1,2,10,5
1,3,1,0
1,4,8,5
1,5,2,2
1,6,5,1
1,7,2,2
1,8,10,0
1,9,1,1
1,10,2,0
2,1,10,9
2,2,8,4
2,3,5,3
2,4,2,1
2,5,10,9
2,6,9,5
2,7,4,2
2,8,0,0
2,9,9,8
2,10,8,3
3,1,1,1
3,2,8,2
3,3,10,3
3,4,0,0
3,5,1,1
3,6,0,0
3,7,1,0
3,8,6,0
3,9,3,3
3,10,7,1
4,1,6,3
4,2,2,1
4,3,7,4
4,4,1,0
4,5,5,4
4,6,7,4
4,7,2,1
4,8,3,1
4,9,5,5
4,10,7,1
5,1,8,7
5,2,3,2
5,3,0,0
5,4,4,2
5,5,0,0
5,6,1,1
5,7,1,1
5,8,3,0
5,9,0,0
5,10,1,0
6,1,2,2
6,2,4,2
6,3,6,3
6,4,4,3
6,5,4,4
6,6,10,6
6,7,1,1
6,8,5,1
6,9,3,3
6,10,10,1
7,1,2,1
7,2,3,0
7,3,2,1
7,4,10,2
7,5,2,2
7,6,7,2
7,7,5,3
7,8,7,0
7,9,2,2
7,10,4,2
8,1,5,5
8,2,3,0
8,3,0,0
8,4,6,2
8,5,5,3
8,6,0,0
8,7,9,2
8,8,4,0
8,9,0,0
8,10,4,2
9,1,3,2
9,2,10,2
9,3,5,2
9,4,4,2
9,5,8,7
9,6,10,7
9,7,3,0
9,8,4,0
9,9,4,4
9,10,0,0
10,1,7,6
10,2,7,3
10,3,7,3
10,4,6,3
10,5,3,3
10,6,3,2
10,7,10,3
10,8,8,0
10,9,5,5
10,10,2,0
11,1,5,4
11,2,2,1
11,3,8,2
11,4,2,1
11,5,10,10
11,6,3,3
11,7,6,4
11,8,4,0
11,9,10,9
11,10,9,2
12,1,8,6
12,2,9,2
12,3,10,3
12,4,4,0
12,5,8,6
12,6,3,2
12,7,10,4
12,8,10,0
12,9,1,1
12,10,8,1
13,1,4,3
13,2,7,1
13,3,5,2
13,4,2,1
13,5,0,0
13,6,6,5
13,7,10,4
13,8,6,0
13,9,6,5
13,10,2,0
14,1,6,6
14,2,5,0
14,3,10,5
14,4,4,3
14,5,1,1
14,6,2,1
14,7,2,2
14,8,4,0
14,9,3,3
14,10,0,0
15,1,8,8
15,2,6,4
15,3,8,2
15,4,10,4
15,5,2,2
15,6,2,1
15,7,1,0
15,8,9,2
15,9,10,10
15,10,9,2
16,1,1,1
16,2,7,3
16,3,9,5
16,4,9,2
16,5,6,6
16,6,10,4
16,7,1,0
16,8,6,1
16,9,10,10
16,10,4,0
17,1,10,10
17,2,3,1
17,3,6,2
17,4,7,2
17,5,2,2
17,6,8,6
17,7,6,1
17,8,4,2
17,9,3,3
17,10,8,3
18,1,9,7
18,2,6,0
18,3,6,3
18,4,4,3
