1,2
2,6
3,2
4,9
5,3
6,9
7,6
8,4
9,9
10,7
11,8
12,3
13,7
14,9
15,4
16,5
17,10
18,9
19,4
20,5
21,1
22,2
23,8
24,1
25,1
26,7
27,9
28,8
29,8
30,9
31,6
32,6
33,3
34,10
35,5
36,4
37,3
38,3
39,4
40,8
41,1
42,5
43,4
44,9
45,5
46,4
47,8
48,8
49,9
50,7
51,9
52,5
53,6
54,2
55,3
56,1
57,7
58,7
59,6
60,6
61,4
62,3
63,4
64,9
65,8
66,7
67,2
68,10
69,9
70,3
71,3
72,8
73,2
74,9
75,5
76,2
77,4
78,10
79,3
80,5
81,9
82,1
83,9
84,3
85,1
86,10
87,1
88,5
89,2
90,8
91,2
92,7
93,3
94,7
95,3
96,9
97,2
98,6
99,10
100,9
101,10
102,7
103,4
104,2
105,7
106,6
107,7
108,1
109,8
110,2
111,5
112,8
113,5
114,9
115,6
116,7
117,8
118,10
119,4
120,6
121,10
122,10
123,1
124,7
125,5
126,6
127,7
128,9
129,8
130,2
131,4
132,6
133,2
134,7
135,1
136,2
137,10
138,2
139,3
140,8
141,9
142,9
143,10
144,4
145,4
146,3
147,1
148,3
149,9
150,7
151,10
152,9
153,7
154,5
155,5
156,10
157,9
158,6
159,1
160,4
161,5
162,4
163,10
164,2
165,5
166,5
167,6
168,6
169,5
170,10
171,8
172,8
173,1
174,2
175,2
176,8
177,9
178,7
179,4
180,5
181,6
182,10
183,5
184,5
185,5
186,6
187,9
188,7
189,9
190,3
191,5
192,6
193,8
194,5
195,9
196,4
197,1
198,6
199,4
200,1
201,10
202,8
203,9
204,7
205,8
206,6
207,1
208,3
209,7
210,1
211,1
212,6
213,7
214,8
215,4
216,10
217,4
218,2
219,10
220,1
221,4
222,5
223,7
224,7
225,8
226,9
227,1
228,6
229,5
230,9
231,5
232,8
233,10
234,3
235,1
236,6
237,2
238,1
239,9
240,5
241,3
242,3
243,2
244,2
245,3
246,9
247,5
248,5
249,1
250,6
251,8
252,7
253,3
254,9
255,2
256,1
257,2
258,6
259,6
260,3
261,2
262,9
263,8
264,10
265,6
266,9
267,10
268,4
269,4
270,2
271,10
272,2
273,10
274,2
275,4
276,8
277,8
278,3
279,8
280,3
281,5
282,3
283,7
284,2
285,2
286,10
287,8
288,4
289,10
290,5
291,3
292,7
293,9
294,3
295,9
296,3
297,3
298,10
299,3
300,6
301,2
302,3
303,4
304,5
305,2
306,9
307,8
308,4
309,9
310,9
311,8
312,5
313,1
314,2
315,6
316,10
317,5
318,4
319,8
320,10
321,3
322,3
323,4
324,5
325,1
326,6
327,1
328,5
329,2
330,2
331,9
332,10
333,10
334,5
335,4
336,10
337,8
338,5
339,10
340,1
341,9
342,3
343,6
344,3
345,2
346,10
347,3
348,5
349,8
350,7
351,2
352,6
353,2
354,2
355,5
356,9
357,9
358,6
359,1
360,7
